player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
James Harden,SG,34,LAC,10,10,32.4,4.3,9.7,0.443,1.9,5.5,0.345,2.4,4.2,0.571,0.541,3.9,4.7,0.83,0.4,4.5,4.9,6.4,1.4,0.6,2.3,1.5,14.4
Jaden Hardy,SG,21,DAL,13,0,10.9,2.2,5.8,0.387,0.8,2.5,0.303,1.5,3.2,0.452,0.453,1.3,1.8,0.739,0.3,1.2,1.5,1.1,0.3,0,0.6,0.8,6.5
Ron Harper Jr.,PF,23,TOR,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Gary Harris,SG,29,ORL,12,2,20.8,2.8,5.8,0.493,1.8,4.2,0.42,1.1,1.6,0.684,0.645,0.8,1,0.75,0.7,1.3,2,1.8,0.9,0.3,0.5,1.2,8.2
Joe Harris,SG,32,DET,7,0,14,1.3,3.6,0.36,0.9,2.7,0.316,0.4,0.9,0.5,0.48,0,0,0,0.3,0.7,1,0.9,0.3,0,0.4,1.7,3.4
Tobias Harris,PF,31,PHI,16,16,36.2,7.3,13.4,0.542,1.2,3.4,0.345,6.1,9.9,0.61,0.586,3.6,3.9,0.905,0.9,5.4,6.3,2.9,0.9,0.4,1.7,1.7,19.3
Shaquille Harrison,SG,30,MEM,2,0,2,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,1
Josh Hart,SF,28,NYK,16,5,28.3,2.9,6.8,0.422,0.9,3.1,0.286,2,3.8,0.533,0.486,0.5,0.6,0.8,1,5.1,6.1,2.7,0.9,0.3,0.9,1.6,7.1
Isaiah Hartenstein,C,25,NYK,16,0,17.3,2.3,4.1,0.561,0.1,0.2,0.333,2.3,3.9,0.571,0.568,1.1,1.7,0.667,2.4,2.4,4.8,0.9,1,0.5,0.8,2.8,5.8
Sam Hauser,SF,26,BOS,17,2,22.9,3.4,6.9,0.487,2.8,6.2,0.448,0.6,0.7,0.833,0.688,0.2,0.2,1,0.6,2.4,3,0.8,0.5,0.4,0.4,1.5,9.7
Jordan Hawkins,SG,21,NOP,17,9,29.1,4.4,11.2,0.393,2.8,7.6,0.364,1.6,3.6,0.452,0.516,1.8,2.1,0.861,0.8,3.2,4,2.1,0.6,0,1.1,2.1,13.4
Jaxson Hayes,C,23,LAL,15,0,11,1.3,1.7,0.76,0,0,0,1.3,1.7,0.76,0.76,0.7,1.3,0.55,0.3,1.3,1.7,0.4,0.3,0.5,0.7,1.8,3.3
Killian Hayes,PG,22,DET,15,13,27.5,3.5,8.9,0.396,0.9,3.1,0.304,2.6,5.9,0.443,0.448,1.2,1.6,0.75,0.3,2.4,2.7,4.3,1.2,0.5,0.9,2.1,9.2
Gordon Hayward,SF,33,CHO,14,14,32.6,5.3,12.7,0.416,0.9,2.5,0.343,4.4,10.2,0.434,0.449,2.5,3.5,0.714,1,4.2,5.2,4.5,1.3,0.6,1.8,2,13.9
Scoot Henderson,PG,19,POR,7,5,26.6,3.4,9.9,0.348,0.7,4,0.179,2.7,5.9,0.463,0.384,1,1.3,0.778,0.7,1.9,2.6,4.4,0.4,0.1,3.6,4.1,8.6
Taylor Hendricks,PF,20,UTA,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,1,1,0,0,0,0,0,1
Tyler Herro,SG,24,MIA,8,8,34,8.5,19,0.447,3.1,7.6,0.41,5.4,11.4,0.473,0.53,2.8,3.1,0.88,0.4,4.6,5,4.6,1.4,0,2.5,1.6,22.9
Buddy Hield,SF,31,IND,15,3,24.5,5.2,11,0.473,3.3,7.6,0.43,1.9,3.4,0.569,0.621,0.3,0.3,0.8,0.5,2.5,3,2.6,0.6,0.5,1.5,1.7,13.9
Haywood Highsmith,PF,27,MIA,13,12,24.3,2.6,6.1,0.43,1.2,3.6,0.34,1.4,2.5,0.563,0.532,0.8,1,0.846,0.7,2.4,3.1,1.7,1.3,0.8,1,2.1,7.3
Nate Hinton,SG,24,HOU,2,0,4,1,2,0.5,1,1,1,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0.5,3
D'Moi Hodge,SG,25,LAL,3,0,5.3,0.3,1.7,0.2,0,1.3,0,0.3,0.3,1,0.2,0.3,0.7,0.5,0,0,0,0.3,0,0.3,0.3,0.7,1
Aaron Holiday,PG,27,HOU,12,0,16.8,2.2,4.6,0.473,0.9,2.3,0.393,1.3,2.3,0.556,0.573,0.4,0.5,0.833,0.1,1.5,1.6,1.6,0.7,0.1,0.4,1.8,5.7
Jrue Holiday,PG,33,BOS,15,15,34.6,4.7,11.3,0.42,1.5,4.5,0.338,3.2,6.7,0.475,0.488,1.3,1.6,0.792,2,5.4,7.4,4.9,0.6,1,2.1,1.6,12.3
Justin Holiday,SG,34,DEN,7,1,10.9,1,2,0.5,0.9,1.9,0.462,0.1,0.1,1,0.714,0,0,0,0,1,1,0.7,0.3,0,0,1,2.9
Richaun Holmes,C,30,DAL,7,1,10.7,1.3,2.7,0.474,0,0,0,1.3,2.7,0.474,0.474,0.4,1.1,0.375,1.7,2.3,4,0.4,0,0.4,0.4,1.7,3
Chet Holmgren,C,21,OKC,16,16,29.9,6.3,11.2,0.564,1.8,4,0.438,4.6,7.2,0.635,0.642,3.7,4.2,0.881,1.7,6.3,8,2.5,0.9,2.3,2.1,2.9,18.1
Al Horford,C,37,BOS,15,5,25.6,2.5,5.7,0.43,1.1,3.6,0.315,1.3,2.1,0.625,0.529,0.2,0.2,1,1.7,4.8,6.5,2.5,0.4,0.9,0.8,1.7,6.3
Talen Horton-Tucker,PG,23,UTA,16,8,22.7,3.6,9.2,0.388,1.2,3.9,0.306,2.4,5.3,0.447,0.452,1.3,1.5,0.875,0.6,2.4,3,4.6,0.9,0.5,2.2,2.4,9.6
Danuel House Jr.,SF,30,PHI,10,0,12.7,1.3,3.1,0.419,0.4,1.6,0.25,0.9,1.5,0.6,0.484,0.8,1,0.8,0.4,1,1.4,0.8,0.5,0.1,0.9,1,3.8
Caleb Houstan,SF,21,ORL,10,0,6.9,0.7,1.5,0.467,0.6,1.4,0.429,0.1,0.1,1,0.667,0.4,0.4,1,0.2,0.8,1,0.4,0.2,0,0.2,0.5,2.4
Jett Howard,SF,20,ORL,5,0,4.6,0.2,2,0.1,0,1.6,0,0.2,0.4,0.5,0.1,0,0,0,0.2,0.2,0.4,0.4,0,0,0.4,0,0.4
Kevin Huerter,SG,25,SAC,14,14,27.4,4.6,10.8,0.43,2.5,6.9,0.365,2.1,3.9,0.545,0.546,0.9,1,0.857,0.6,3.7,4.3,2.9,0.9,0.4,0.8,2.2,12.6
Jay Huff,C,25,DEN,1,0,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
De'Andre Hunter,SF,26,ATL,16,16,30.7,4.9,10.6,0.465,1.9,5,0.375,3.1,5.6,0.544,0.553,2.6,3.1,0.857,0.8,3.4,4.2,1.3,0.9,0.4,1.5,3.1,14.4
Bones Hyland,PG,23,LAC,10,2,19.6,3.7,8.7,0.425,1.7,4.7,0.362,2,4,0.5,0.523,0.9,1,0.9,0.2,1.2,1.4,2.4,0.6,0,1.9,2.1,10
Joe Ingles,SF,36,ORL,17,0,18.6,1.4,3.6,0.377,0.9,2.5,0.357,0.5,1.1,0.421,0.5,0.4,0.5,0.875,0.5,2.1,2.5,3.2,0.9,0.1,0.9,1.5,4
Brandon Ingram,SF,26,NOP,14,14,33.7,9.9,19.6,0.502,1.4,4.7,0.303,8.4,14.9,0.565,0.538,3.4,4.5,0.762,0.6,4.6,5.3,5.1,0.6,0.1,2.7,2.1,24.6
Kyrie Irving,SG,31,DAL,13,13,33,9.2,19.3,0.478,2.8,7.2,0.398,6.4,12.2,0.525,0.552,3.1,3.5,0.889,0.7,3.5,4.2,5.5,1.2,0.3,1.6,1.9,24.4
Jonathan Isaac,PF,26,ORL,14,0,13.9,2.2,5.1,0.437,0.6,2.4,0.235,1.6,2.6,0.622,0.493,1.6,2,0.786,1.2,3.2,4.4,0.4,0.9,1.3,0.7,1.4,6.6
Jaden Ivey,SG,21,DET,12,3,23,4.6,8.7,0.529,1.1,3.3,0.325,3.5,5.3,0.656,0.591,2.3,2.9,0.771,0.9,1.7,2.6,2.9,0.8,0.3,2.3,2.5,12.5
