player,position,age,team,month,year,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Kris Murray,SF,23,POR,January,2024,26,0,12.3,1.3,3.4,0.398,0.6,1.7,0.333,0.8,1.7,0.465,0.483,0.3,0.4,0.727,0.7,1.2,1.8,0.6,0.8,0.2,0.5,0.7,3.6
Kristaps Porziņģis,C,28,BOS,January,2024,32,32,30,6.5,12.3,0.525,1.8,5.1,0.35,4.7,7.2,0.649,0.598,4.8,5.8,0.837,1.7,5.2,6.8,2,0.7,1.9,1.6,2.9,19.5
Kyle Anderson,PF,30,MIN,January,2024,44,2,22.6,2.5,5.3,0.466,0.1,0.7,0.172,2.4,4.7,0.507,0.476,1.4,2,0.698,0.7,2.9,3.5,4,0.8,0.6,1.3,1.6,6.4
Kyle Kuzma,PF,28,WAS,January,2024,43,43,31.3,8.4,18.5,0.455,2.3,6.7,0.344,6.1,11.8,0.519,0.518,2.6,3.2,0.791,1,5.5,6.6,4.4,0.4,0.6,2.7,2.1,21.7
Kyle Lowry,PG,37,MIA,January,2024,37,35,28,2.8,6.5,0.426,1.7,4.4,0.385,1.1,2.2,0.506,0.554,0.9,1.1,0.833,0.7,2.8,3.5,4,1.1,0.4,1.4,2.5,8.2
Kyrie Irving,SG,31,DAL,January,2024,27,27,33.3,9.3,19.6,0.472,2.9,7,0.411,6.4,12.6,0.506,0.545,3.8,4.2,0.895,0.8,4.3,5.1,5.3,1.3,0.4,1.6,1.9,25.2
Lamar Stevens,PF,26,BOS,January,2024,16,1,6.4,0.9,2.1,0.441,0.1,0.4,0.286,0.8,1.7,0.481,0.471,0.4,0.5,0.75,0.5,0.9,1.4,0.4,0.4,0.3,0.4,0.8,2.4
LaMelo Ball,PG,22,CHO,January,2024,21,21,32.8,8.4,19.4,0.435,3.2,9,0.362,5.2,10.4,0.498,0.518,4.2,4.9,0.873,1.4,3.9,5.3,8,1.8,0.2,3.8,3.6,24.3
Landry Shamet,SG,26,WAS,January,2024,27,0,15.4,2.9,6.2,0.47,1.4,3.4,0.398,1.6,2.8,0.56,0.58,1,1.3,0.771,0.2,1,1.2,1.4,0.6,0.3,0.6,1.8,8.2
Larry Nance Jr.,C,31,NOP,January,2024,27,0,17.7,2.3,3.9,0.59,0.6,1.2,0.469,1.7,2.7,0.644,0.662,0.8,1,0.786,1.3,3.9,5.2,1.3,1,0.4,0.9,1.2,6
Lauri Markkanen,PF,26,UTA,January,2024,35,35,32.5,7.9,16,0.49,3.1,7.9,0.39,4.8,8.1,0.588,0.586,4.8,5.5,0.876,2.4,6.3,8.7,1.8,0.9,0.6,1.1,1.8,23.6
Leaky Black,SF,24,CHO,January,2024,13,0,5.2,0.7,1.1,0.643,0.2,0.4,0.6,0.5,0.7,0.667,0.75,0.2,0.3,0.5,0.2,0.7,0.9,0.4,0.2,0.3,0.2,0.2,1.8
LeBron James,PF,39,LAL,January,2024,40,40,34.3,9.3,17.8,0.52,2.2,5.5,0.391,7.1,12.3,0.577,0.58,4.1,5.6,0.74,0.9,6.3,7.2,7.4,1.3,0.6,3.4,1.1,24.8
Leonard Miller,SF,20,MIN,January,2024,5,0,3.8,1.2,1.8,0.667,0.2,0.6,0.333,1,1.2,0.833,0.722,0,0,0,0,1.8,1.8,0.2,0.2,0.2,0.2,0.6,2.6
Lester Quinones,SG,23,GSW,January,2024,9,0,6.3,1,2.6,0.391,0.6,1.4,0.385,0.4,1.1,0.4,0.5,0.1,0.2,0.5,0.4,0.9,1.3,0.6,0.1,0.1,0.6,0.7,2.7
Lindell Wigginton,PG,25,MIL,January,2024,3,0,2.7,0.7,1.7,0.4,0,0.7,0,0.7,1,0.667,0.4,0.7,0.7,1,0,0,0,0,0,0,0.3,0.3,2
Lindy Waters III,SG,26,OKC,January,2024,15,0,7.5,1.1,2.5,0.421,1,2.4,0.417,0.1,0.1,0.5,0.618,0,0,0,0.1,0.7,0.8,0.7,0,0.1,0.1,0.7,3.1
Lonnie Walker IV,SG,25,BRK,January,2024,25,0,18.5,4.5,9.2,0.489,2.3,4.9,0.463,2.2,4.2,0.519,0.614,1.2,1.5,0.763,0.2,2.1,2.3,1.4,0.6,0.4,1.2,1.1,12.4
Luguentz Dort,SF,24,OKC,January,2024,42,42,28.6,3.7,8.2,0.455,1.9,4.7,0.408,1.8,3.5,0.517,0.571,1.7,2.1,0.809,1.3,2.6,3.9,1.3,0.9,0.8,1,3.1,11
Luka Šamanić,PF,24,UTA,January,2024,20,0,6.3,1.1,2.8,0.375,0.3,1.1,0.238,0.8,1.8,0.457,0.42,0.6,0.7,0.846,0.4,1.6,1.9,0.2,0.1,0.1,0.5,0.7,2.9
Luka Dončić,PG,24,DAL,January,2024,37,37,36.9,11.4,23.7,0.482,3.9,10.4,0.373,7.6,13.4,0.566,0.563,6.8,8.9,0.769,0.8,7.7,8.5,9.3,1.4,0.6,3.9,1.8,33.6
Luka Garza,C,25,MIN,January,2024,9,0,2.6,0.6,1.8,0.313,0,0.6,0,0.6,1.2,0.455,0.313,0.6,0.9,0.625,0.4,0.4,0.9,0.2,0,0,0.2,0.8,1.7
Luke Kennard,SG,27,MEM,January,2024,20,8,24.4,3.5,8,0.431,2.6,6.1,0.426,0.9,1.9,0.447,0.594,0.9,1,0.895,0.4,2.7,3.1,3,0.5,0.1,0.9,1,10.4
Luke Kornet,C,28,BOS,January,2024,31,2,14.9,2.1,3,0.691,0,0,0,2.1,3,0.691,0.691,0.7,0.8,0.875,1.8,2,3.8,0.9,0.4,1,0.5,1.4,4.9
Malachi Flynn,PG,25,TOT,January,2024,38,0,13.3,1.6,3.9,0.409,0.8,2.3,0.341,0.8,1.6,0.508,0.51,0.6,0.7,0.75,0.3,1.4,1.8,2,0.5,0.2,0.9,1.2,4.6
Malachi Flynn,PG,25,TOR,January,2024,31,0,15.3,1.8,4.4,0.409,0.9,2.6,0.35,0.9,1.8,0.491,0.511,0.5,0.7,0.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1
Malachi Flynn,PG,25,NYK,January,2024,7,0,4.4,0.7,1.7,0.417,0.3,1.1,0.25,0.4,0.6,0.75,0.5,0.6,0.9,0.667,0,0.4,0.4,0.6,0.1,0,0.3,0.4,2.3
Malaki Branham,PG,20,SAS,January,2024,42,21,21,3.4,7.9,0.433,1,3.1,0.308,2.5,4.8,0.515,0.494,0.6,0.6,0.926,0.3,1.7,2,2.3,0.4,0.1,1.2,1.3,8.4
Malcolm Brogdon,PG,31,POR,January,2024,35,21,28,5.5,12.7,0.437,2.2,5.1,0.422,3.4,7.5,0.447,0.523,2.4,2.9,0.816,0.6,2.9,3.5,5.3,0.7,0.2,1.5,1.4,15.7
Malcolm Cazalon,SG,22,DET,January,2024,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Beasley,SG,27,MIL,January,2024,42,42,29.4,4.2,8.6,0.488,2.9,6.2,0.471,1.3,2.5,0.529,0.656,0.3,0.4,0.75,0.6,3.4,4,1.4,0.7,0.1,0.7,2.1,11.6
Malik Monk,SG,25,SAC,January,2024,41,0,26,5.1,11.7,0.436,2.5,6.4,0.391,2.6,5.3,0.491,0.543,2.4,2.9,0.822,0.4,2.2,2.6,5.5,0.6,0.7,2.1,2,15
Mamadi Diakite,PF,27,SAS,January,2024,3,0,5.3,1.3,1.7,0.8,0,0,0,1.3,1.7,0.8,0.8,1.3,2,0.667,0.3,0.7,1,0.7,0,0.3,0,0.3,4
Marcus Morris,PF,34,PHI,January,2024,33,5,16.3,2.2,5.1,0.443,1,2.3,0.416,1.3,2.7,0.467,0.539,0.8,1,0.844,0.5,2.3,2.9,0.7,0.3,0.3,0.4,1.7,6.3
Marcus Sasser,PG,23,DET,January,2024,40,0,15.5,2.7,5.8,0.468,1,2.6,0.392,1.7,3.2,0.527,0.554,0.7,0.8,0.906,0.2,1.4,1.6,2.6,0.6,0.2,0.9,1.3,7.1
Marcus Smart,PG,29,MEM,January,2024,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
MarJon Beauchamp,SF,23,MIL,January,2024,34,1,15.7,1.9,4,0.474,0.7,1.8,0.403,1.1,2.1,0.534,0.567,0.4,0.6,0.6,0.6,1.9,2.5,0.9,0.3,0.2,0.7,1.4,4.9
Mark Williams,C,22,CHO,January,2024,19,19,26.7,5.2,7.9,0.649,0,0,0,5.2,7.9,0.649,0.649,2.4,3.4,0.719,4,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7
Markelle Fultz,PG,25,ORL,January,2024,12,6,24.3,3.9,8.1,0.485,0,0.3,0,3.9,7.8,0.5,0.485,0.4,0.9,0.455,1.3,1.8,3,3.7,1.2,0.4,1.3,1.8,8.3
Markieff Morris,PF,34,DAL,January,2024,16,1,9.4,0.9,2.9,0.319,0.6,1.8,0.321,0.4,1.2,0.316,0.415,0.2,0.3,0.75,0.3,1.5,1.8,0.7,0.3,0.1,0.6,0.7,2.6
Markquis Nowell,SG,24,TOR,January,2024,1,0,4,0,1,0,0,0,0,0,1,0,0,2,2,1,2,0,2,2,1,0,0,0,2
Marques Bolden,C,25,MIL,January,2024,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0
Marvin Bagley III,C,24,TOT,January,2024,30,12,19.9,4.6,7.8,0.588,0.1,0.3,0.222,4.5,7.5,0.603,0.592,2,2.7,0.744,2.3,3.1,5.4,1.1,0.3,0.6,1.2,1.8,11.2
Marvin Bagley III,C,24,DET,January,2024,26,10,18.4,4.1,7,0.591,0,0.2,0.167,4.1,6.7,0.606,0.594,1.9,2.3,0.82,1.8,2.8,4.5,1,0.2,0.5,1.1,1.5,10.2
Marvin Bagley III,C,24,WAS,January,2024,4,2,29.5,7.5,13,0.577,0.3,0.8,0.333,7.3,12.3,0.592,0.587,2.8,5.3,0.524,6,5.3,11.3,1.3,1,0.8,1.5,3.5,18
Mason Plumlee,C,33,LAC,January,2024,12,3,16,2,2.9,0.686,0,0,0,2,2.9,0.686,0.686,1.7,2.8,0.588,1,3.6,4.6,1.2,0.4,0.3,0.5,1.3,5.7
Matisse Thybulle,SF,26,POR,January,2024,42,14,22.5,2,4.6,0.426,1.4,3.7,0.377,0.6,1,0.61,0.574,0.3,0.4,0.813,0.4,1.6,2,1.1,1.6,0.8,0.5,1.3,5.6
Matt Ryan,SF,26,NOP,January,2024,13,1,22.9,2.9,6.4,0.458,2.5,5.2,0.471,0.5,1.2,0.4,0.651,1,1.1,0.929,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3
Max Christie,SG,20,LAL,January,2024,35,6,17.4,1.8,4.5,0.404,0.7,2.2,0.325,1.1,2.3,0.481,0.484,0.6,0.8,0.786,0.3,2.5,2.7,1.1,0.4,0.3,0.8,1.3,4.9
Max Strus,SF,27,CLE,January,2024,42,42,33,4.6,11.5,0.405,2.5,7.5,0.338,2.1,3.9,0.537,0.517,1,1.3,0.811,0.7,4.1,4.9,3.8,0.9,0.5,1.6,2.7,12.9
Maxi Kleber,C,32,DAL,January,2024,10,2,19,1.2,3.4,0.353,0.5,2,0.25,0.7,1.4,0.5,0.426,0.9,1.3,0.692,0.8,2.6,3.4,1.8,0.2,0.7,0.9,2.3,3.8
Maxwell Lewis,SF,21,LAL,January,2024,15,0,4.1,0.1,0.7,0.2,0.1,0.2,0.333,0.1,0.5,0.143,0.25,0,0,0,0.1,0.1,0.2,0.2,0.1,0,0.3,0.1,0.3
Micah Potter,PF,25,UTA,January,2024,2,0,3.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Michael Porter Jr.,SF,25,DEN,January,2024,45,45,31.4,6.2,12.8,0.481,2.8,6.9,0.401,3.4,6,0.572,0.588,1,1.3,0.767,1.2,5.8,7,1.4,0.5,0.8,1,2,16.1
Mikal Bridges,SF,27,BRK,January,2024,43,43,34.9,7.6,16.8,0.455,2.3,6.2,0.363,5.4,10.6,0.509,0.522,4.2,5,0.839,0.9,4.3,5.2,3.8,0.9,0.5,2.3,1.6,21.7
Mike Conley,PG,36,MIN,January,2024,41,41,29.2,3.7,8.3,0.445,2.3,5.3,0.438,1.3,2.9,0.458,0.587,1.2,1.3,0.923,0.4,2.4,2.8,6.4,1,0.2,1.1,1.7,10.9
Mike Muscala,C,32,TOT,January,2024,28,2,14.1,1.4,3.7,0.385,0.7,2.3,0.317,0.7,1.5,0.488,0.481,0.6,0.8,0.727,1,2.2,3.1,1,0.2,0.4,0.6,1.3,4.1
Mike Muscala,C,32,WAS,January,2024,24,2,14.1,1.4,3.8,0.367,0.6,2.1,0.275,0.8,1.6,0.487,0.444,0.6,0.8,0.75,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4
Mike Muscala,C,32,DET,January,2024,4,0,14.5,1.8,3.5,0.5,1.5,3,0.5,0.3,0.5,0.5,0.714,0.3,0.5,0.5,1.3,2,3.3,1.3,0.3,0.8,0.3,1.3,5.3
Miles Bridges,SF,25,CHO,January,2024,31,29,37,7.9,17.4,0.455,2.3,6.5,0.355,5.6,10.8,0.516,0.522,2.7,3.1,0.866,0.8,6.4,7.1,2.9,1.1,0.5,2,2,20.8
Miles McBride,PG,23,NYK,January,2024,31,2,9.5,1.6,3.5,0.455,1,2.2,0.441,0.6,1.4,0.476,0.591,0.3,0.3,0.8,0.1,0.6,0.7,0.9,0.4,0.1,0.3,1,4.5
Mitchell Robinson,C,25,NYK,January,2024,21,21,29.2,2.8,4.7,0.592,0,0,0,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5,10.3,0.7,1.5,1.3,1,1.9,6.2
Mo Bamba,C,25,PHI,January,2024,24,0,9,1.6,3,0.549,0.4,0.8,0.556,1.2,2.2,0.547,0.62,0.6,0.9,0.667,1.4,1.7,3,0.5,0.4,0.8,0.6,1.2,4.3
Monte Morris,PG,28,DET,January,2024,1,0,11,3,4,0.75,1,1,1,2,3,0.667,0.875,0,0,0,0,3,3,3,0,0,0,0,7
Moritz Wagner,C,26,ORL,January,2024,42,1,19,4.3,7.3,0.59,0.5,1.7,0.31,3.8,5.6,0.675,0.626,2.2,2.8,0.79,1.6,3,4.5,1.3,0.5,0.3,1.2,2.2,11.3
Moses Brown,C,24,POR,January,2024,9,4,9.1,1,2.3,0.429,0,0,0,1,2.3,0.429,0.429,0,0.4,0,2,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2
Moses Moody,SG,21,GSW,January,2024,34,4,18,3.1,6.5,0.482,1.1,3.1,0.358,2,3.4,0.595,0.568,1.3,1.7,0.789,1.1,2,3.1,0.8,0.7,0.3,0.7,1.4,8.7
Mouhamed Gueye,PF,21,ATL,January,2024,2,0,2,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0
Moussa Diabaté,C,22,LAC,January,2024,10,0,5.8,0.9,1.8,0.5,0,0,0,0.9,1.8,0.5,0.5,0.9,1.2,0.75,1.4,0.6,2,0.4,0.4,0,0.2,0.4,2.7
Myles Turner,C,27,IND,January,2024,43,43,27.7,6.3,12,0.525,1.4,4.1,0.337,4.9,7.9,0.622,0.583,3.5,4.4,0.803,1.7,5.4,7.1,1.3,0.5,1.9,1.5,3.1,17.4
Naji Marshall,SF,26,NOP,January,2024,35,1,18.5,2.7,5.9,0.454,0.9,2.3,0.39,1.7,3.5,0.496,0.532,1.5,1.8,0.825,1.1,2.5,3.6,2,0.7,0.2,1.1,1.5,7.7
Nassir Little,SF,23,PHO,January,2024,26,2,14.3,1.8,3.7,0.484,0.6,2,0.308,1.2,1.7,0.698,0.568,0.7,0.8,0.85,0.5,1.8,2.3,0.6,0.4,0.3,0.5,1.2,4.8
Nate Hinton,SG,24,HOU,January,2024,5,0,5.2,0.8,1.8,0.444,0.8,1,0.8,0,0.8,0,0.667,0,0,0,0.4,0.6,1,0.2,0,0,0.2,1,2.4
Nathan Mensah,C,25,CHO,January,2024,18,0,14.1,0.6,1.3,0.435,0,0,0,0.6,1.3,0.435,0.435,0.5,0.7,0.75,1.4,1.8,3.2,0.4,0.2,0.6,0.7,3,1.6
Naz Reid,C,24,MIN,January,2024,44,0,22.4,4.8,9.5,0.499,2,4.8,0.41,2.8,4.8,0.589,0.601,1.1,1.4,0.794,1,3.6,4.6,1,0.8,0.7,1.3,2,12.6
Neemias Queta,C,24,BOS,January,2024,16,0,12.9,1.9,3.4,0.556,0,0,0,1.9,3.4,0.556,0.556,0.9,1.1,0.778,2,2.6,4.6,0.4,0.4,0.4,0.4,2.3,4.6
Nic Claxton,C,24,BRK,January,2024,33,33,29.3,5.4,8.4,0.637,0,0.1,0.5,5.3,8.4,0.638,0.638,1.6,2.8,0.574,3.2,7.2,10.3,1.7,0.7,2.2,1.2,2.5,12.4
Nick Richards,C,26,CHO,January,2024,33,20,24.4,3.6,5.3,0.676,0,0,0,3.6,5.3,0.676,0.676,1.8,2.4,0.763,2.5,5.2,7.7,0.8,0.4,1.2,0.9,2.7,9.1
Nick Smith Jr.,SG,19,CHO,January,2024,27,0,15.1,2.5,5.9,0.424,1.3,2.9,0.462,1.1,3,0.388,0.538,0.1,0.1,0.75,0.5,1.1,1.6,1.1,0.1,0.3,0.9,1.1,6.4
Nickeil Alexander-Walker,SG,25,MIN,January,2024,44,14,22.7,2.4,5.6,0.429,1.4,3.8,0.37,1,1.9,0.549,0.553,0.4,0.6,0.704,0.4,1.4,1.8,2.5,0.9,0.6,1,1.8,6.6
Nicolas Batum,PF,35,TOT,January,2024,31,24,25,2.1,4,0.524,1.3,2.9,0.456,0.8,1.1,0.706,0.69,0.3,0.5,0.643,1.3,2.6,3.9,2.4,0.7,0.8,0.6,2,5.8
Nicolas Batum,PF,35,LAC,January,2024,3,0,18,1,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1,0.5,0,0,0,0,2.3,2.3,1.7,1,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,January,2024,28,24,25.7,2.2,4.1,0.534,1.4,3,0.47,0.8,1.2,0.697,0.703,0.3,0.5,0.643,1.4,2.6,4,2.5,0.7,0.8,0.6,2,6.1
Nikola Jokić,C,28,DEN,January,2024,44,44,33.6,10.2,17.3,0.59,1,2.9,0.362,9.2,14.5,0.635,0.62,4.7,5.7,0.825,3,9,12,9.1,1.1,0.9,2.8,2.6,26.2
Nikola Jović,PF,20,MIA,January,2024,17,12,18.2,2.1,5.2,0.409,1.1,2.5,0.419,1.1,2.6,0.4,0.511,0.6,1.2,0.55,0.9,3.8,4.6,2.1,0.4,0.4,1,2.2,5.9
Nikola Vučević,C,33,CHI,January,2024,40,38,33.7,7.3,15.5,0.469,1.1,4.1,0.265,6.2,11.5,0.541,0.504,1.3,1.5,0.864,2.7,8,10.7,3.6,0.7,0.7,1.6,2.6,16.9
Noah Clowney,PF,19,BRK,January,2024,2,0,13.5,3,4.5,0.667,0,0.5,0,3,4,0.75,0.667,1,1,1,1.5,1,2.5,1,0,0,0.5,1.5,7
Norman Powell,SG,30,LAC,January,2024,42,0,25.5,4.7,9.4,0.5,2,4.5,0.453,2.7,4.9,0.544,0.609,2,2.3,0.875,0.1,2.3,2.5,1,0.5,0.4,0.9,1.8,13.5
Obi Toppin,PF,25,IND,January,2024,44,28,23.2,4.4,7.5,0.582,1.3,3.2,0.408,3,4.3,0.713,0.67,1.1,1.4,0.77,1,2.9,3.9,1.5,0.5,0.5,0.7,2.1,11.1
Ochai Agbaji,SG,23,UTA,January,2024,45,10,20.1,2.2,5.1,0.435,1,3,0.331,1.2,2.2,0.577,0.53,0.3,0.4,0.75,0.8,1.8,2.5,0.9,0.6,0.6,0.7,1.4,5.8
OG Anunoby,SF,26,TOT,January,2024,39,39,34.3,5.6,11.4,0.493,2.1,5.5,0.38,3.6,6,0.597,0.584,1.6,1.9,0.803,1,3.3,4.3,2.3,1.2,0.7,1.5,2.4,14.9
OG Anunoby,SF,26,TOR,January,2024,27,27,33.3,5.8,11.9,0.489,2.3,6,0.374,3.6,5.9,0.608,0.584,1.2,1.7,0.717,0.9,3,3.9,2.7,1,0.5,1.6,2.3,15.1
OG Anunoby,SF,26,NYK,January,2024,12,12,36.5,5.3,10.4,0.504,1.7,4.2,0.4,3.6,6.3,0.573,0.584,2.3,2.5,0.933,1.3,3.9,5.2,1.3,1.4,1.3,1.4,2.5,14.5
Olivier Sarr,C,24,OKC,January,2024,9,0,7.6,0.7,1.2,0.545,0.2,0.6,0.4,0.4,0.7,0.667,0.636,0.7,0.9,0.75,0.7,2.2,2.9,0.2,0,0.6,0.2,1.6,2.2
Olivier-Maxence Prosper,PF,21,DAL,January,2024,24,0,9.1,0.9,2.6,0.349,0.3,1.3,0.258,0.6,1.3,0.438,0.413,0.8,1.1,0.704,0.6,1.5,2.2,0.8,0.1,0.1,0.2,0.7,3
Omer Yurtseven,C,25,UTA,January,2024,24,6,10.7,1.6,3.2,0.5,0.1,0.6,0.2,1.5,2.5,0.574,0.52,0.3,0.4,0.6,1.5,2.8,4.3,0.5,0.2,0.4,0.9,1.4,3.5
Onuralp Bitim,SG,24,CHI,January,2024,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onyeka Okongwu,C,23,ATL,January,2024,43,3,24.8,3.6,6.1,0.587,0.3,1.1,0.286,3.3,5,0.656,0.614,1.7,2.1,0.8,2.5,4.2,6.8,1.4,0.4,1,0.9,3,9.2
Orlando Robinson,C,23,MIA,January,2024,18,7,12.3,1.7,3.3,0.525,0.4,0.7,0.583,1.3,2.6,0.511,0.585,0.6,0.9,0.688,1,2.3,3.3,1.5,0.3,0.4,0.7,1.6,4.4
Oscar Tshiebwe,PF,24,IND,January,2024,6,0,5.7,1.3,2.7,0.5,0,0,0,1.3,2.7,0.5,0.5,0.8,1,0.833,1,1,2,0.3,0.3,0,0,0.2,3.5
Oshae Brissett,SF,25,BOS,January,2024,26,0,12.1,1.4,3.1,0.463,0.4,1.3,0.303,1,1.8,0.574,0.525,1,1.5,0.684,1.2,1.9,3,0.7,0.5,0.1,0.3,1.2,4.2
Otto Porter Jr.,SF,30,TOR,January,2024,15,1,11.6,0.9,2.2,0.424,0.5,1.5,0.348,0.4,0.7,0.6,0.545,0.2,0.2,1,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6
Ousmane Dieng,PF,20,OKC,January,2024,22,0,11.4,1.5,3.5,0.423,0.7,2.4,0.308,0.8,1.2,0.654,0.526,0.5,0.5,0.833,0.4,1.5,1.9,0.9,0.1,0,0.5,0.7,4.2
P.J. Tucker,PF,38,TOT,January,2024,15,3,15.9,0.4,1.3,0.316,0.3,1.1,0.313,0.1,0.2,0.333,0.447,0.2,0.2,1,1.1,1.8,2.9,0.5,0.6,0.2,0.3,2.3,1.3
P.J. Tucker,PF,38,PHI,January,2024,3,3,22,0.7,1.7,0.4,0.7,1.7,0.4,0,0,0,0.6,0,0,0,0.3,4.3,4.7,0,1,0.7,0.7,3,2
P.J. Tucker,PF,38,LAC,January,2024,12,0,14.4,0.3,1.2,0.286,0.3,0.9,0.273,0.1,0.3,0.333,0.393,0.3,0.3,1,1.3,1.2,2.4,0.7,0.5,0.1,0.2,2.2,1.2
P.J. Washington,PF,25,CHO,January,2024,36,16,28.5,4.7,10.9,0.434,1.8,5.4,0.332,2.9,5.4,0.536,0.517,1.4,1.9,0.746,1.2,4.1,5.3,2.3,0.9,0.7,1.4,2.8,12.6
Paolo Banchero,PF,21,ORL,January,2024,44,44,34.8,8,17.8,0.45,1.4,4,0.354,6.6,13.8,0.478,0.49,5.1,7.3,0.697,1.2,5.9,7,4.8,1,0.6,3.2,2.1,22.5
Pascal Siakam,PF,29,TOT,January,2024,42,42,34.5,8.3,15.9,0.52,1.1,3.6,0.318,7.1,12.3,0.579,0.556,4.2,5.5,0.751,1.4,5,6.3,4.9,0.8,0.2,2.1,2.4,21.8
Pascal Siakam,PF,29,TOR,January,2024,39,39,34.7,8.3,16,0.522,1.2,3.7,0.317,7.2,12.3,0.584,0.559,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2
Pascal Siakam,PF,29,IND,January,2024,3,3,32.3,7.3,14.7,0.5,0.7,2,0.333,6.7,12.7,0.526,0.523,2,3.3,0.6,1.3,5.3,6.7,4.7,0.3,0,1.7,4,17.3
Pat Connaughton,SF,31,MIL,January,2024,38,0,21.3,1.9,4.4,0.443,1.2,3.2,0.375,0.8,1.2,0.617,0.578,0.4,0.5,0.737,0.6,2.6,3.2,1.7,0.4,0.2,0.5,1.2,5.4
Patrick Baldwin Jr.,SF,21,WAS,January,2024,14,0,7.4,1,2.2,0.452,0.6,1.2,0.529,0.4,1,0.357,0.597,0.5,0.7,0.7,0.4,1.7,2.1,0.4,0.1,0.2,0.4,1.2,3.1
Patrick Beverley,PG,35,PHI,January,2024,39,1,18.5,1.9,4.5,0.423,0.7,2.2,0.314,1.2,2.3,0.528,0.5,0.9,1.2,0.761,0.7,2.4,3.1,2.6,0.5,0.3,0.8,1.7,5.4
Patrick Williams,PF,22,CHI,January,2024,42,29,27.4,3.7,8.3,0.449,1.4,3.4,0.413,2.3,4.9,0.473,0.533,1.2,1.5,0.781,1.1,2.7,3.8,1.5,1,0.7,1.3,2,10.1
Patty Mills,PG,35,ATL,January,2024,13,0,11.8,1.4,3.2,0.429,1,2.1,0.481,0.4,1.2,0.333,0.583,0,0,0,0.2,0.8,1,0.9,0.5,0.1,0.5,1.2,3.8
Paul George,PF,33,LAC,January,2024,40,40,34.7,8.3,17.8,0.468,3.6,8.5,0.419,4.8,9.3,0.512,0.568,3.3,3.7,0.911,0.6,4.9,5.6,3.6,1.6,0.4,2.1,2.9,23.5
Paul Reed,C,24,PHI,January,2024,42,8,15.3,2.4,4.4,0.548,0.1,0.5,0.316,2.3,4,0.575,0.565,0.6,0.9,0.722,1.9,2.8,4.7,1.1,0.6,0.7,0.8,2.2,5.6
Payton Pritchard,PG,26,BOS,January,2024,44,0,21.2,2.8,6.7,0.42,1.7,4.5,0.378,1.1,2.2,0.505,0.546,0.5,0.7,0.774,1,2.3,3.3,3,0.5,0.1,0.6,1.3,7.8
Pete Nance,PF,23,CLE,January,2024,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton Watson,SF,21,DEN,January,2024,43,2,17.4,2.5,5.4,0.472,0.7,2,0.345,1.8,3.3,0.549,0.537,1,1.4,0.712,0.5,2.1,2.6,0.9,0.5,0.9,0.6,1.6,6.7
Precious Achiuwa,C-PF,24,TOT,January,2024,37,0,16.2,2.8,5.8,0.479,0.4,1.4,0.264,2.4,4.3,0.55,0.512,0.7,1.2,0.587,2,3.2,5.2,1.3,0.5,0.5,1,1.6,6.6
Precious Achiuwa,C,24,TOR,January,2024,25,0,17.5,3.1,6.8,0.459,0.5,1.9,0.277,2.6,4.9,0.528,0.497,1,1.7,0.571,2,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
Precious Achiuwa,PF,24,NYK,January,2024,12,0,13.7,2,3.6,0.558,0.1,0.5,0.167,1.9,3.1,0.622,0.57,0.3,0.3,0.75,2,2.6,4.6,0.4,0.3,0.6,0.8,1.5,4.3
Quentin Grimes,SG,23,NYK,January,2024,41,18,19.8,2.3,6,0.387,1.7,4.6,0.368,0.6,1.4,0.448,0.528,0.4,0.5,0.714,0.3,1.4,1.7,1.1,0.7,0.1,0.5,1.5,6.8
