player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Precious Achiuwa,C,24,TOR,23,0,18.4,3.3,7.3,0.461,0.6,2,0.277,2.8,5.2,0.533,0.5,1,1.7,0.575,2.2,3.6,5.8,1.9,0.7,0.5,1.2,1.7,8.3
Bam Adebayo,C,26,MIA,20,20,33.9,8.2,16,0.511,0.1,0.2,0.25,8.1,15.8,0.514,0.513,5.7,7.1,0.796,2.1,7.9,9.9,4.1,1.2,1,2.7,2.5,22
Ochai Agbaji,SG,23,UTA,30,10,21.6,2.7,5.9,0.463,1.3,3.4,0.376,1.5,2.5,0.579,0.571,0.3,0.4,0.833,0.9,1.7,2.6,1,0.7,0.5,0.7,1.6,7.1
Santi Aldama,PF,23,MEM,22,5,25.1,4.5,10.1,0.441,1.7,5,0.349,2.7,5.1,0.531,0.527,1,1.7,0.622,1.5,4.2,5.7,2,0.7,0.7,1.1,1.6,11.7
Nickeil Alexander-Walker,SG,25,MIN,28,11,23.1,2.5,6.1,0.409,1.4,4,0.351,1.1,2.1,0.517,0.523,0.4,0.6,0.647,0.4,1.5,1.9,2.4,0.9,0.6,1,1.9,6.8
Grayson Allen,SG,28,PHO,24,24,33.3,4.4,9,0.488,2.5,5.4,0.454,2,3.6,0.54,0.624,1.7,1.9,0.891,0.9,3.6,4.5,2.7,1,0.5,1.4,2.4,13
Jarrett Allen,C,25,CLE,25,25,29.2,5.5,8.2,0.676,0,0,0,5.5,8.1,0.68,0.676,2.2,3.3,0.683,3,5.6,8.6,2.5,0.8,0.9,1.8,2.6,13.3
Jose Alvarado,PG,25,NOP,16,0,16.4,2.3,5.5,0.42,1.2,3,0.396,1.1,2.5,0.45,0.528,0.8,1.3,0.6,0.5,2,2.5,2,1,0.4,0.9,1.6,6.6
Kyle Anderson,PF,30,MIN,28,1,23.2,2.7,5.9,0.461,0.1,0.8,0.095,2.6,5.1,0.514,0.467,1.4,2,0.702,0.8,2.8,3.6,4,0.8,0.8,1.5,1.5,6.9
Giannis Antetokounmpo,PF,29,MIL,29,29,34.9,11.4,19,0.601,0.4,1.7,0.22,11.1,17.3,0.639,0.611,7.5,11.2,0.669,2.7,8.2,11,5.5,1.4,1.2,3.8,2.9,30.8
Thanasis Antetokounmpo,PF,31,MIL,12,0,4.6,0.3,0.8,0.444,0,0,0,0.3,0.8,0.444,0.444,0,0,0,0.3,0.3,0.5,0.4,0.2,0.1,0.4,0.6,0.7
Cole Anthony,PG,23,ORL,28,0,25.4,5,11.1,0.453,1.4,3.9,0.361,3.6,7.3,0.502,0.516,3.5,4.2,0.839,1.1,3.4,4.5,3.7,0.8,0.5,1.8,2.9,15
OG Anunoby,SF,26,TOR,25,25,33.4,5.6,11.9,0.475,2.2,6.1,0.368,3.4,5.8,0.586,0.569,1.3,1.8,0.727,0.9,3,3.9,2.7,1,0.5,1.6,2.4,14.8
Ryan Arcidiacono,PG,29,NYK,10,0,2.1,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.1,0,0,0.1,0
Deni Avdija,SF,23,WAS,28,28,26.9,4.4,8.8,0.498,0.9,2.5,0.338,3.5,6.2,0.563,0.547,1.9,2.3,0.813,1.1,4.5,5.6,4,0.8,0.3,1.5,2.2,11.4
Deandre Ayton,C,25,POR,24,24,31.7,6,10.9,0.548,0,0,0,6,10.9,0.548,0.548,1.2,1.5,0.778,3.4,7.3,10.8,1.6,1.2,0.7,2.1,2.5,13.1
Udoka Azubuike,C,24,PHO,4,0,8.8,2,2,1,0,0,0,2,2,1,1,0.3,0.5,0.5,1.3,2.5,3.8,0.5,0,0.3,0.3,1.3,4.3
Marvin Bagley III,C,24,DET,24,10,19,4.3,7.2,0.59,0,0.3,0.167,4.2,7,0.605,0.592,2,2.4,0.825,1.9,2.9,4.8,1,0.1,0.6,1.2,1.6,10.5
Amari Bailey,PG,19,CHO,2,0,5.5,1,3,0.333,0,1,0,1,2,0.5,0.333,0.5,1,0.5,1,0,1,0,0,0,0.5,0,2.5
Patrick Baldwin Jr.,SF,21,WAS,8,0,5.8,0.6,1.8,0.357,0.4,0.6,0.6,0.3,1.1,0.222,0.464,0.5,0.5,1,0.3,1.1,1.4,0.4,0,0.1,0.1,0.5,2.1
LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,0.443,3.5,8.9,0.388,5.3,10.9,0.488,0.53,3.6,4.2,0.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7
Mo Bamba,C,25,PHI,16,0,7.3,1.7,2.8,0.6,0.5,0.8,0.615,1.2,2,0.594,0.689,0.6,0.8,0.692,1.1,1.4,2.6,0.4,0.2,0.6,0.5,0.9,4.4
Paolo Banchero,PF,21,ORL,28,28,33.8,7.6,16.2,0.47,1.3,3.4,0.383,6.3,12.8,0.493,0.51,4.7,6.8,0.693,1.3,5.6,6.9,4.5,1,0.5,3.2,2.1,21.2
Desmond Bane,SG,25,MEM,27,27,34.5,9.2,19.8,0.465,3.5,9.1,0.381,5.7,10.7,0.538,0.553,3.2,3.7,0.861,1,3.5,4.5,5.2,1.2,0.7,3,2.9,25.1
Dalano Banton,PG,24,BOS,13,1,7.5,1.2,2.3,0.5,0.1,0.6,0.125,1.1,1.7,0.636,0.517,0.4,0.5,0.833,0.8,1.2,1.9,0.5,0.2,0.2,0.4,0.9,2.8
Dominick Barlow,PF,20,SAS,8,0,5.6,0.4,1.1,0.333,0,0.3,0,0.4,0.9,0.429,0.333,0.5,0.8,0.667,0,1,1,0,0.1,0,0,0.5,1.3
Harrison Barnes,PF,31,SAC,28,28,30.8,4,8.2,0.487,1.8,4.5,0.4,2.2,3.8,0.59,0.596,2,2.5,0.826,0.9,2.3,3.1,1.4,0.7,0.2,0.7,1.2,11.8
Scottie Barnes,SG,22,TOR,29,29,35,7.8,15.9,0.489,2,5.3,0.383,5.7,10.6,0.542,0.553,3.2,4.1,0.767,2.6,6.7,9.3,5.9,1.4,1.4,2.6,2,20.7
RJ Barrett,SG,23,NYK,24,24,29.2,6.3,14.9,0.426,1.7,4.9,0.347,4.6,10,0.464,0.483,4,4.7,0.85,0.7,3.5,4.2,2.4,0.5,0.4,1.7,1.5,18.4
Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,0.725,0,0.1,0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4,1.1,0.4,0.9,0.8,1.6,3.3
Emoni Bates,SF,20,CLE,9,0,7.8,0.7,2.4,0.273,0.6,1.9,0.294,0.1,0.6,0.2,0.386,0.1,0.2,0.5,0.1,0.9,1,0.3,0.1,0.2,0.1,0.3,2
Keita Bates-Diop,SF,28,PHO,22,8,17.6,1.9,4.7,0.398,0.5,1.8,0.25,1.4,2.9,0.492,0.447,1,1.5,0.719,0.9,2.2,3.1,0.9,0.5,0.7,0.3,0.9,5.2
Nicolas Batum,PF,35,TOT,20,14,23.9,2,3.7,0.541,1.3,2.8,0.464,0.7,0.9,0.778,0.716,0.4,0.6,0.636,0.9,2.8,3.7,2.2,0.6,0.7,0.5,1.8,5.7
Nicolas Batum,PF,35,LAC,3,0,18,1,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1,0.5,0,0,0,0,2.3,2.3,1.7,1,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,17,14,24.9,2.2,3.9,0.561,1.4,2.9,0.49,0.8,1,0.765,0.742,0.4,0.6,0.636,1.1,2.8,3.9,2.2,0.5,0.5,0.5,1.8,6.2
