player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Bradley Beal,SG,30,PHO,6,6,25.2,5.2,11.5,0.449,1.5,3.5,0.429,3.7,8,0.458,0.514,2.8,4,0.708,0.5,2.8,3.3,3.2,0.7,0.3,2.3,2.2,14.7
Malik Beasley,SG,27,MIL,28,28,29.8,4.2,8.8,0.478,2.8,6.2,0.454,1.4,2.5,0.535,0.639,0.3,0.4,0.667,0.7,3.7,4.4,1.5,0.9,0.1,0.6,2,11.5
MarJon Beauchamp,SF,23,MIL,26,1,15.1,1.8,3.6,0.489,0.7,1.6,0.439,1.1,2,0.528,0.585,0.4,0.7,0.611,0.5,1.8,2.4,0.7,0.3,0.2,0.7,1.5,4.7
Jules Bernard,SG,24,WAS,2,0,5,0.5,2.5,0.2,0,1.5,0,0.5,1,0.5,0.2,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,1
Dāvis Bertāns,PF,31,OKC,10,0,8.1,0.8,2.1,0.381,0.8,2,0.4,0,0.1,0,0.571,1.4,1.5,0.933,0.1,0.8,0.9,0.8,0.2,0.2,0.1,1,3.8
Patrick Beverley,PG,35,PHI,28,1,17.1,1.7,4,0.423,0.6,2.1,0.31,1,1.9,0.547,0.505,0.8,1.1,0.7,0.7,2.1,2.8,2.2,0.5,0.3,0.7,1.7,4.8
Saddiq Bey,SF,24,ATL,29,17,32.2,4.7,10.3,0.456,1.8,5.3,0.344,2.9,5,0.576,0.545,1.7,2.2,0.794,2.2,4.2,6.4,1.3,1.1,0.1,1.2,1.6,12.9
Goga Bitadze,C,24,ORL,25,20,20.7,2.8,4.8,0.597,0,0.2,0.2,2.8,4.6,0.614,0.601,1.4,2,0.7,2.2,3.8,6.1,1.8,0.7,1.6,0.9,2.3,7.1
Onuralp Bitim,SG,24,CHI,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bismack Biyombo,C,31,MEM,22,20,24.5,2.5,4.4,0.567,0,0,0,2.5,4.4,0.567,0.567,1,2,0.477,2.3,4.3,6.6,1.9,0.4,1.1,1.2,2.8,6
Anthony Black,PG,20,ORL,26,22,19.9,1.9,3.8,0.505,0.4,1.3,0.314,1.5,2.5,0.609,0.561,0.8,1.3,0.618,0.6,1.9,2.5,1.7,0.4,0.4,0.9,2.1,5.1
Leaky Black,SF,24,CHO,7,0,5.7,0.7,1.1,0.625,0.1,0.3,0.5,0.6,0.9,0.667,0.688,0,0,0,0.3,0.7,1,0.6,0.3,0.4,0.1,0.3,1.6
Bogdan Bogdanović,SG,31,ATL,27,2,28.6,6.4,14,0.458,3.5,8.7,0.402,2.9,5.3,0.549,0.582,1.5,1.7,0.889,0.4,2.9,3.4,2.7,1.4,0.3,1.1,2.6,17.8
Bojan Bogdanović,PF,34,DET,10,9,32.5,6.6,14.2,0.465,2.9,7.3,0.397,3.7,6.9,0.536,0.567,3.5,4.6,0.761,0.6,2.1,2.7,2.5,1.1,0.1,2,2,19.6
Bol Bol,PF,24,PHO,7,0,2.6,0.4,0.7,0.6,0,0.1,0,0.4,0.6,0.75,0.6,0,0,0,0.1,0.4,0.6,0,0,0.1,0.3,0.1,0.9
Marques Bolden,C,25,MIL,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0
Devin Booker,SG,27,PHO,20,20,36,9.2,19.5,0.473,1.9,5.1,0.366,7.4,14.4,0.51,0.521,7.1,8.1,0.882,0.9,4.5,5.4,8.3,0.7,0.5,2.9,3.4,27.4
Brandon Boston Jr.,SF,22,LAC,4,0,10.3,2.5,5.8,0.435,0.8,3,0.25,1.8,2.8,0.636,0.5,1.5,1.5,1,0.5,1,1.5,0.8,0.3,0,0.3,1.3,7.3
Chris Boucher,PF,31,TOR,26,0,14.1,2.2,4.7,0.463,0.7,1.8,0.354,1.5,2.9,0.533,0.533,1.5,1.9,0.76,1.2,2.5,3.7,0.3,0.3,0.6,0.5,1.6,6.5
James Bouknight,SG,23,CHO,3,0,6,2,3.7,0.545,1.7,3.3,0.5,0.3,0.3,1,0.773,0,0,0,0.3,1,1.3,0,0,0,0.3,0.3,5.7
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,0.238,0,1.3,0,0.8,2.2,0.385,0.238,0,0,0,0.3,1.3,1.7,1.3,0,0,1.3,0.5,1.7
Malaki Branham,SG,20,SAS,28,16,22.5,3.8,8.5,0.45,1,3.3,0.312,2.8,5.2,0.538,0.511,0.5,0.6,0.938,0.2,1.7,1.9,2.5,0.4,0.1,1.3,1.4,9.2
Christian Braun,SG,22,DEN,32,0,19.8,3.2,6.7,0.47,0.8,1.8,0.414,2.4,4.9,0.49,0.526,1.3,1.8,0.75,0.8,2.9,3.7,1.7,0.4,0.3,0.8,1.7,8.4
Mikal Bridges,SF,27,BRK,29,29,34.5,7.7,16.8,0.459,2.1,5.7,0.367,5.6,11.1,0.506,0.522,4.1,4.8,0.856,1.1,4.3,5.4,3.9,0.9,0.4,2.4,1.7,21.7
Miles Bridges,SF,25,CHO,16,14,36.3,7.4,16.2,0.459,1.8,5.8,0.312,5.6,10.4,0.542,0.515,3.1,3.6,0.86,1,6,7,2.4,1.4,0.4,1.6,2.2,19.8
Oshae Brissett,SF,25,BOS,14,0,10.6,1.1,2.1,0.5,0.4,1.1,0.4,0.6,1.1,0.6,0.6,0.7,1.1,0.625,0.9,1.4,2.3,0.5,0.4,0,0.3,0.9,3.3
Malcolm Brogdon,PG,31,POR,21,12,27.8,5.6,13,0.427,2,5.2,0.382,3.6,7.8,0.457,0.504,2,2.7,0.768,0.8,2.8,3.6,5.7,0.9,0.2,1.5,1.4,15.2
Armoni Brooks,PG,25,BRK,7,0,9.1,1.3,3.9,0.333,1,2.7,0.368,0.3,1.1,0.25,0.463,0,0,0,0.6,1.1,1.7,0.4,0,0.1,0.1,0.1,3.6
Dillon Brooks,SF,28,HOU,27,27,31.3,5.1,10.6,0.477,2,4.8,0.411,3.1,5.9,0.532,0.57,1.6,2,0.83,0.7,2.9,3.6,1.7,0.9,0,1.8,3.9,13.7
Bruce Brown,SG,27,IND,27,27,30.7,4.3,9.5,0.457,1,3.4,0.297,3.3,6.1,0.545,0.51,1.9,2.4,0.813,0.7,3.9,4.6,2.9,1.1,0.3,1.1,2.5,11.6
Charlie Brown Jr.,SG,26,NYK,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Greg Brown III,PF,22,DAL,5,0,5.6,0.4,1.2,0.333,0,0.2,0,0.4,1,0.4,0.333,0.8,1.8,0.444,0.4,1,1.4,0.6,0,0.2,0.6,0.6,1.6
Jaylen Brown,SF,27,BOS,28,28,33.8,8.8,18.5,0.478,2.1,6.4,0.335,6.7,12.1,0.553,0.536,2.9,3.9,0.734,0.9,4,4.9,3.6,1.1,0.6,2.4,2.8,22.6
Kobe Brown,PF,24,LAC,19,0,10.5,0.9,2.4,0.4,0.5,1.6,0.333,0.4,0.8,0.533,0.511,0.1,0.1,0.5,0.3,1.3,1.6,0.6,0.2,0.2,0.2,1.8,2.5
Moses Brown,C,24,POR,5,0,7,1.2,2.4,0.5,0,0,0,1.2,2.4,0.5,0.5,0,0.4,0,1.6,2,3.6,0.2,0.2,0.2,0.2,0.4,2.4
Troy Brown Jr.,SF,24,MIN,24,3,14.3,1.8,3.9,0.457,1,2.7,0.385,0.8,1.2,0.621,0.59,0.8,0.9,0.864,0.5,2,2.5,1,0.3,0.1,0.6,0.9,5.4
Jalen Brunson,PG,27,NYK,29,29,35.6,9.3,19.4,0.48,2.9,6.4,0.459,6.4,13,0.491,0.556,4.5,5.6,0.804,0.7,3.2,4,5.9,1.1,0.1,2.2,2,26.1
Thomas Bryant,C,26,MIA,18,3,12.4,2.2,4,0.556,0,0.2,0,2.2,3.8,0.58,0.556,0.9,1.1,0.85,1.2,2.6,3.8,0.6,0.3,0.3,0.8,1.3,5.4
Kobe Bufkin,SG,20,ATL,2,0,2,0,1.5,0,0,0.5,0,0,1,0,0,0.5,1,0.5,0.5,0.5,1,0,0,0,0,0,0.5
Reggie Bullock,SF,32,HOU,11,0,8.5,0.6,1.8,0.35,0.5,1.5,0.353,0.1,0.3,0.333,0.5,0.1,0.1,1,0.2,1,1.2,0.3,0.1,0.1,0.2,0.6,1.9
Alec Burks,SG,32,DET,22,0,17.5,2.5,7.7,0.325,1.5,4.6,0.327,1,3.1,0.324,0.423,2.4,2.7,0.881,0.5,1.6,2.1,1.4,0.4,0.2,0.4,1.4,8.9
Jared Butler,SG,23,WAS,14,0,7.9,1.6,3.1,0.512,0.5,1.5,0.333,1.1,1.6,0.682,0.593,0.9,1.1,0.8,0,0.7,0.7,1.9,0.6,0.1,0.7,1,4.5
Jimmy Butler,PF,34,MIA,23,23,34,6.7,14.5,0.462,0.9,2.3,0.377,5.8,12.2,0.479,0.492,7.3,8.3,0.879,2,3.2,5.2,4.6,1.1,0.4,1.8,1.1,21.5
Jamal Cain,PF,24,MIA,9,0,14.4,1.4,3.4,0.419,0.4,1.7,0.267,1,1.8,0.563,0.484,1.1,1.7,0.667,0.7,1.2,1.9,0.1,0.7,0.3,0.2,1.1,4.4
Kentavious Caldwell-Pope,SG,30,DEN,30,30,32.6,3.6,7.8,0.455,1.5,3.6,0.421,2.1,4.3,0.484,0.551,1.5,1.7,0.902,0.4,1.7,2.2,2.6,1.5,0.6,1,1.9,10.2
Toumani Camara,PF,23,POR,28,19,25,2.6,6.3,0.42,0.9,2.9,0.3,1.8,3.4,0.521,0.489,1,1.4,0.692,1.9,2.7,4.6,1,1,0.5,1,2.8,7.1
Clint Capela,C,29,ATL,28,28,26,5,8.5,0.595,0,0,0,5,8.5,0.595,0.595,1.9,2.6,0.716,4.9,5.8,10.7,1.1,0.6,1.7,0.9,2.7,12
Jevon Carter,PG,28,CHI,31,0,14.3,2,5.5,0.367,1.2,3.5,0.349,0.8,1.9,0.4,0.479,0.1,0.1,0.667,0.1,0.5,0.7,1.2,0.5,0.3,0.6,1.2,5.3
Wendell Carter Jr.,C,24,ORL,8,8,26,3,7.6,0.393,0.8,2.8,0.273,2.3,4.9,0.462,0.443,1.1,2,0.563,2,5.6,7.6,1.9,0.4,0.4,1.1,2.5,7.9
Alex Caruso,SG,29,CHI,25,13,23.5,3.5,6.4,0.547,1.6,3.4,0.464,1.9,3,0.64,0.67,1,1.4,0.765,1.1,2.3,3.4,2.3,1.2,0.8,1.4,2.4,9.6
Colin Castleton,C,23,LAL,4,0,7,1.3,2,0.625,0,0,0,1.3,2,0.625,0.625,0.5,0.5,1,0.8,1,1.8,0.8,0,0,0,1.3,3
Malcolm Cazalon,SG,22,DET,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Champagnie,SF,22,SAS,21,6,13.1,1.8,4.4,0.409,1.3,3.3,0.406,0.5,1.1,0.417,0.559,0.5,0.6,0.769,0.3,1.3,1.6,0.8,0.4,0.6,0.7,0.8,5.4
Max Christie,SG,20,LAL,22,6,16.5,1.6,4.2,0.387,0.6,2,0.302,1,2.3,0.46,0.457,0.5,0.6,0.714,0.1,2.3,2.5,1,0.4,0.2,0.7,1.4,4.3
Sidy Cissoko,SF,19,SAS,3,0,7,0,1,0,0,0.7,0,0,0.3,0,0,0.7,0.7,1,0,1,1,0,0.7,0,0.3,0.7,0.7
Jordan Clarkson,SG,31,UTA,20,19,30.8,6.3,15.5,0.406,1.8,5.7,0.307,4.6,9.8,0.464,0.463,3,3.5,0.843,1.3,2.1,3.4,5,0.9,0.2,3,1.4,17.3
Nic Claxton,C,24,BRK,20,20,27.3,5.1,8,0.631,0.1,0.1,1,5,8,0.629,0.634,1.5,2.4,0.638,3,6.4,9.4,1.7,0.5,2.5,1,2.6,11.7
Noah Clowney,PF,19,BRK,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Amir Coffey,SF,26,LAC,17,4,13,1.2,2.8,0.417,0.5,1.6,0.286,0.7,1.2,0.6,0.5,0.6,0.6,0.909,0.4,1.2,1.6,0.6,0.1,0,0.5,1.1,3.4
John Collins,PF,26,UTA,26,24,30.2,5.3,11,0.481,1.5,3.6,0.404,3.8,7.4,0.518,0.547,2.1,2.7,0.783,2.4,5.7,8.1,0.8,0.7,0.9,1.5,2.7,14.2
Zach Collins,C,26,SAS,28,22,27,4.9,10.1,0.486,1.2,3.8,0.321,3.7,6.4,0.584,0.546,2,2.5,0.814,2,4.1,6.1,3.4,0.6,0.8,2.4,3.3,13.1
Mike Conley,PG,36,MIN,28,28,29.5,3.9,8.3,0.464,2.3,5.2,0.445,1.5,3.1,0.494,0.603,1.4,1.5,0.952,0.4,2.5,2.9,6.3,1,0.1,1.2,1.6,11.5
Pat Connaughton,SF,31,MIL,24,0,22.1,2.1,5,0.417,1.1,3.4,0.321,1,1.6,0.615,0.525,0.5,0.6,0.733,0.8,3.1,4,2,0.5,0.2,0.6,1.2,5.7
Bilal Coulibaly,SF,19,WAS,27,1,26.8,3.4,6.5,0.517,1.2,2.9,0.418,2.1,3.6,0.598,0.611,1.1,1.7,0.638,0.7,3.3,4,1.7,1,0.7,1.5,1.9,9.1
Robert Covington,SF-PF,33,TOT,26,6,17.5,1.5,3.5,0.433,0.7,2,0.358,0.8,1.4,0.541,0.539,0.8,0.9,0.875,1.1,2.4,3.5,0.8,1.3,0.7,0.4,1.9,4.5
Robert Covington,PF,33,LAC,3,3,23,1,3,0.333,0.7,2.7,0.25,0.3,0.3,1,0.444,0.3,0.7,0.5,0.7,2,2.7,2.3,2,0.7,0,2.3,3
Robert Covington,SF,33,PHI,23,3,16.8,1.6,3.5,0.444,0.7,2,0.378,0.8,1.6,0.528,0.549,0.9,1,0.909,1.2,2.4,3.6,0.7,1.2,0.7,0.4,1.9,4.7
Torrey Craig,SF,33,CHI,27,7,21.2,2.2,5.1,0.424,1.1,2.8,0.382,1.1,2.3,0.476,0.529,0.7,0.9,0.783,1.9,3,4.8,1,0.6,0.4,0.6,2.5,6.1
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,0.532,1.8,3.4,0.516,1,1.8,0.563,0.702,0.8,1.3,0.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,29,29,34.8,8.3,19.2,0.435,1.8,5.7,0.321,6.5,13.5,0.483,0.483,3.9,4.4,0.876,0.5,3.4,3.9,7.1,1,0.3,4,2.7,22.4
Seth Curry,SG,33,DAL,23,3,12,1.4,3.9,0.367,0.8,2.1,0.388,0.6,1.8,0.341,0.472,0.4,0.4,0.9,0.5,1,1.5,0.8,0.6,0.1,0.3,0.9,4.1
Stephen Curry,PG,35,GSW,28,28,33.5,8.8,18.9,0.465,4.8,11.6,0.414,4,7.3,0.546,0.592,5.5,5.9,0.934,0.5,4,4.5,4.4,0.7,0.4,3.2,1.8,27.9
Dyson Daniels,PG,20,NOP,30,13,23.3,2.4,5.9,0.399,0.7,2.6,0.256,1.7,3.3,0.51,0.455,0.7,1,0.667,1,3.1,4.2,2.8,1.3,0.3,1,1.7,6.1
Anthony Davis,C,30,LAL,29,29,35.8,9.4,17.2,0.547,0.4,0.9,0.407,9,16.3,0.555,0.558,5.7,7.1,0.805,3.4,9,12.4,3.2,1.1,2.5,2,2.5,24.9
Johnny Davis,SG,21,WAS,14,0,9.1,1.4,2.9,0.475,0.1,0.2,0.333,1.3,2.6,0.486,0.488,0.3,0.4,0.8,0.6,0.8,1.4,0.4,0.5,0.1,0.4,0.7,3.1
JD Davison,SG,21,BOS,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,0.526,0.3,2,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2,2.3,1,0,0.3,0.8,0.3,5.5
DeMar DeRozan,SF,34,CHI,29,29,36.5,7.7,17,0.455,0.9,2.6,0.355,6.8,14.3,0.474,0.483,5.9,7.1,0.83,0.7,3,3.8,5.4,1.1,0.8,1.4,2.2,22.3
Moussa Diabaté,C,22,LAC,9,0,6.1,1,2,0.5,0,0,0,1,2,0.5,0.5,1,1.3,0.75,1.6,0.6,2.1,0.4,0.4,0,0.2,0.4,3
Gradey Dick,SG,20,TOR,18,1,12.8,1.1,3.7,0.284,0.6,2.4,0.25,0.4,1.3,0.348,0.366,0.8,0.8,1,0.4,0.8,1.2,0.8,0.3,0,0.7,1.3,3.5
Ousmane Dieng,PF,20,OKC,18,0,11.2,1.5,3.3,0.458,0.8,2.2,0.35,0.7,1.1,0.684,0.576,0.6,0.7,0.833,0.4,1.2,1.6,0.9,0.1,0,0.3,0.7,4.3
Spencer Dinwiddie,PG,30,BRK,28,28,31.8,4.8,11.7,0.405,2.1,6.4,0.328,2.6,5.3,0.5,0.495,2.8,3.6,0.775,0.6,3.4,4,6.6,0.9,0.2,1.7,1.6,14.4
Donte DiVincenzo,SG,27,NYK,29,11,20.7,3.3,7.3,0.45,2.3,5.3,0.442,0.9,2,0.474,0.611,0.7,1,0.724,0.7,2.2,2.9,1.9,1,0.3,1,1.8,9.6
Luka Dončić,PG,24,DAL,28,28,37.1,11.4,23.4,0.489,4,10.4,0.387,7.4,12.9,0.572,0.576,6.6,8.5,0.785,0.9,7.6,8.5,9.4,1.4,0.6,4,1.8,33.5
Luguentz Dort,SF,24,OKC,26,26,28.2,3.6,8,0.454,1.8,4.3,0.407,1.8,3.6,0.511,0.565,2,2.4,0.825,1.3,2.7,4,1.3,0.8,0.8,0.9,2.9,11
Ayo Dosunmu,SG,24,CHI,29,5,21,2.8,5.8,0.485,1,2.7,0.354,1.8,3,0.602,0.569,0.7,0.9,0.731,0.6,1.6,2.1,1.8,0.8,0.2,0.9,1.8,7.2
Andre Drummond,C,30,CHI,31,0,13.5,2.4,4.7,0.514,0,0,0,2.4,4.7,0.517,0.514,1.4,2.3,0.606,2.8,4,6.8,0.5,1.1,0.4,1,1.6,6.2
Chris Duarte,SF,26,SAC,25,5,12.2,1.2,3.4,0.353,0.6,2,0.294,0.6,1.4,0.441,0.441,0.6,0.7,0.778,0.2,1.5,1.7,0.7,0.6,0.1,0.5,2,3.6
Kris Dunn,PG,29,UTA,22,4,15.8,2.2,4.8,0.467,0.5,1.5,0.375,1.7,3.3,0.507,0.524,0.4,0.6,0.643,0.5,2.1,2.7,3.5,0.6,0.2,1.3,1.6,5.4
Kevin Durant,PF,35,PHO,25,25,36.8,10.4,20.2,0.518,2.1,4.5,0.469,8.3,15.6,0.532,0.57,7.3,8.3,0.875,0.4,5.8,6.2,5.5,0.8,1.1,3.6,1.8,30.3
Jalen Duren,C,20,DET,14,13,28.9,5.7,9.1,0.63,0,0.1,0,5.7,8.9,0.64,0.63,1.1,2,0.571,3.4,7.6,10.9,2.5,0.6,1.4,2.7,3.4,12.6
Tari Eason,PF,22,HOU,18,0,21,3.7,7.9,0.465,0.8,2.1,0.395,2.8,5.8,0.49,0.518,1.1,1.6,0.655,2,5.1,7.1,1.2,1,0.9,0.9,2.2,9.2
Anthony Edwards,SG,22,MIN,25,25,34.4,8.9,19.6,0.454,2.4,6.6,0.37,6.4,13,0.497,0.516,5,5.8,0.861,0.6,4.9,5.5,5.3,1.4,0.5,3.2,1.8,25.2
Kessler Edwards,SF,23,SAC,23,0,5.1,0.6,1.4,0.406,0.3,0.9,0.35,0.3,0.5,0.5,0.516,0,0.1,0.5,0.1,0.7,0.8,0.3,0.1,0.1,0,0.4,1.5
Keon Ellis,SG,24,SAC,21,3,13.9,1.4,3.4,0.408,1,2.9,0.35,0.4,0.5,0.727,0.556,0.5,0.8,0.647,0.3,1.2,1.5,1.5,0.6,0.5,0.6,1.5,4.3
